reaction,bnumber,gene_name,Chemostat_vilu_011,Chemostat_heinmann_012,galactose_heinmann,Chemostat_heinmann_02,Chemostat_vilu_021,acetate_heinmann,Chemostat_vilu_031,Chemostat_heinmann_035,glucosamine_heinmann,pyruvate_heinmann,succinate_heinmann,Chemostat_vilu_04,fumarate_heinmann,glycerol_heinmann,Chemostat_vilu_049,pH6_heinmann,Chemostat_heinmann_05,anaerobic_heinmann,glucose_heinmann,NaCl_50mM_heinmann,42Cdeg_henimann
MALCOAMT,b0777,bioC,36801974550,40147608600,56875778850,66912681000,70258315050,97023387450,103714655550,117097191750,130479727950,133825362000,133825362000,133825362000,157244800350,157244800350,163936068450,167281702500,167281702500,184009872750,200738043000,217466213250,217466213250
MALDDH,b1800,dmlA,,,,,,,,,,,,,,,,,,,,,
MALDt2_2pp,b3528,dctA,,,,,,,,,,,,,,,,,,,,,
MALTATr,b0459,maa,,,,,,,,,,,,,,,,,,,,,
MALTHXtexi,b4036,lamB,,,,,,,,,,,,,,,,,,,,,
MALTPTtexi,b4036,lamB,,,,,,,,,,,,,,,,,,,,,
MALTTRtexi,b4036,lamB,,,,,,,,,,,,,,,,,,,,,
MALTTTRtexi,b4036,lamB,,,,,,,,,,,,,,,,,,,,,
MALTtexi,b4036,lamB,,,,,,,,,,,,,,,,,,,,,
MALt2_2pp,b3528,dctA,,,,,,,,,,,,,,,,,,,,,
MAN1PT2,b2049,manC,,,,,,,,,,,,,,,,,,,,,
MAN6PI,b1613,manA,,,,,,,,,,,,,,,,,,,,,
MAN6Pt6_2pp,b3666,uhpT,,,,,,,,,,,,,,,,,,,,,
MANAO,b4323,uxuB,,,,,,,,,,,,,,,,,,,,,
MANPGH,b0732,mngB,,,,,,,,,,,,,,,,,,,,,
MCITD,b0334,prpD,,,,,,,,,,,,,,,,,,,,,
MCITL2,b0331,prpB,,,,,,,,,,,,,,,,,,,,,
MCITS,b0333,prpC,,,,,,,,,,,,,,,,,,,,,
MCPST,b2521,sseA,,,,,,,,,,,,,,,,,,,,,
MDH,b3236,mdh,131258590406778000,138400849872170000,174146154293706000,195531464831346000,202681185060667000,259877272886322000,274092215530461000,302659761239231000,330625417010945000,657886111497548000,539235615044963000,338369193375193000,662793292577257000,268731909988399000,402664450091561000,409788057647116000,409788057647116000,445607512736182000,481229304210836000,516916354055002000,516916354055002000
MDH2,b2210,mqo,,,,,,,,,,,,,,,,,,,,,
MDH3,b2210,mqo,,,,,,,,,,,,,,,,,,,,,
ME1,b1479,maeA,,,,,,,,,,,,,,,,,,,,,
