bnumber,Chemostat u=0.21 (1),Chemostat u=0.31 (1),Chemostat u=0.41,Chemostat u=0.22,Chemostat u=0.26,Chemostat u=0.36,Chemostat u=0.46,Chemostat u=0.51
b0526,398.8165687436,436.0041372703,482.7912270599,390.6378117819,444.2385665122,484.5786685223,505.8402781262,532.8231473527
b0528,741.6778189555,918.6989018194,922.257446169,820.2352150506,818.6836478095,978.9116476284,934.8373375077,1021.0660423116
b0529,300.8296131924,337.55722805,359.2066248154,313.8867359509,338.5557458061,355.0185630464,364.1248650069,421.9994949002
b0553,,,,,,,,
b0557,560.2949233687,716.1396663725,1136.988435681,503.8170731877,595.0388123917,854.330368109,1190.6682270411,1615.0809713898
b0565,5484.8509474941,5439.3600457741,5929.1401205636,5584.675152274,5780.9927358344,5719.2174901886,6567.7278494728,7112.6441163347
b0571,,,,,,,,
b0572,458.5460418357,436.3991236856,265.9020696832,480.5591585844,455.0705789765,323.2724487012,219.2093051726,194.9147056225
b0574,396.3455741166,374.0879265809,221.8988553872,418.4984200565,298.9481167826,243.7283235169,166.3553759959,109.6964343644
b0578,2216.712994092,2213.7077441307,2244.0810071787,2287.6604788639,2257.5883349663,2199.1997416182,2210.9558688918,2309.7235068007
b0584,39.5886372726,30.8498924809,35.6795592616,34.6329613605,,,45.5874746069,37.0933057873
b0592,,,,,,34.6144026894,,35.9800161605
b0594,,,,,,,,
b0595,,,81.0565621821,68.7967988915,74.3729272057,,49.2825013061,63.2324040217
b0596,,,,,,,,
b0598,1283.9843333442,1287.8844252125,796.3343225331,1349.059376742,1063.7701668199,975.8389933969,582.3936790437,335.2225322244
b0599,,,116.9048055861,81.206851727,90.9774218991,114.1194017705,126.930011047,54.0457652034
b0600,,,,,,,,
b0604,,,,,,,,20.7204009217
b0605,51210.1147097925,47391.1600820597,38529.6115601294,54229.7067730425,51521.3211990232,43753.6858990381,37286.3956106415,35147.5501017081
b0606,1323.5890745888,1298.9729716927,1270.4135588426,1359.8373179709,1339.1800672518,1294.9788204783,1322.501217443,1284.6741909618
b0607,2412.4126501667,2175.6143448216,2152.3815720651,2400.0011338089,2172.3486790948,1814.0639575608,1960.9141076473,1896.683220249
b0610,,,409.2957369705,669.022411384,,,,322.7284044254
b0623,20264.4601073053,20892.6468712619,21248.6434338936,21515.1980976679,21171.9674570689,24182.0959010154,20514.0597542108,23766.0285124371
b0627,83.3478986674,,114.1856929253,,,,,179.2694692821
b0628,434.1114787037,456.7070820365,388.8828914963,397.1692262752,490.6962851538,424.8177802475,360.7516942859,344.387622321
b0631,2250.8945448015,2138.7951030218,1868.925495551,2457.4257818794,2111.4048360351,1991.7949022943,2087.0631574919,2010.18416465
b0632,963.4425880055,1160.886689055,1271.4204037169,1013.095413815,1084.5724414585,1253.1407209096,1345.1038518599,1491.2363720531
b0633,204.9477463994,205.9514504327,227.0182745299,202.7800916823,205.2229929099,185.3724580169,221.6551162959,225.1880838882
b0637,189.5488972124,205.9683228135,250.9559708942,147.5997789426,185.4429392141,245.4711019494,,317.190212776
b0641,450.3143175422,404.0481264815,420.4300742563,422.3431170454,423.0887566944,324.7864981152,357.7563335505,350.7895290936
b0642,1554.5886821653,1596.9952887134,1597.9407332525,1554.5623468461,1546.9696358012,1530.4142964026,1638.1375898336,1653.5178224365
b0643,984.8831772279,576.448237114,507.8225859235,948.4616027033,678.3395237515,530.3552264735,345.2557969908,290.1630017974
b0650,,,,,,,,
b0651,123.0390807523,147.7093754711,121.0525175336,142.7390001189,,120.4865039911,,90.2787117977
b0652,72.015914505,62.6564149834,56.5125006891,76.1256576161,91.7430576615,,,43.4085991018
b0655,2407.3177847279,1834.1540275372,1076.1477078161,2265.6653883245,2228.1132919059,1514.4023191366,844.8727842315,779.2014078538
b0657,27.2718867436,28.6394381077,35.5034119808,,,,,22.0720272508
b0658,178.6393056994,230.9198329626,230.7713608788,196.2876066396,228.1692493082,252.8842690674,219.1066517291,205.5811994999
b0660,722.3611950023,789.7520788998,786.6864127784,752.1208030229,677.7773196201,807.5390862965,808.2272585499,798.7381562242
b0661,147.6387815205,180.1018081034,242.0472760308,155.4020091218,177.0380798899,218.9646355445,274.679235244,287.3206590925
b0662,,,,47.3609922794,,,65.5274370123,
